balance_assets_accounts_receivables,balance_assets_cash_deposits,balance_assets_inventories,balance_assets_investments,balance_assets_land_building,balance_assets_other_assets,balance_assets_other_tangible,balance_assets_total,balance_funds_endowment,balance_funds_liabilities_total,balance_funds_restricted,balance_funds_total,balance_funds_unrestricted,balance_liabilities_current,balance_liabilities_non_current,balance_liabilities_total,capital_in_nature,expenses_charitable_local,expenses_charitable_overseas,expenses_charitable_total,expenses_fund_raising,expenses_others_total,expenses_total,financial_period,financial_status,name,other_info_donation_other_charities,other_info_fund_raising_efficiency_ratio,other_info_no_of_employees,other_info_total_employee_costs,other_info_total_related_party_transactions,primary_sector,receipts_donation_cash_non_tax_deductible,receipts_donation_cash_tax_deductible,receipts_donation_cash_total,receipts_donation_kind_non_tax_deductible,receipts_donation_kind_tax_deductible,receipts_donation_kind_total,receipts_government_grants,receipts_investment_income,receipts_others_income,receipts_programme_fees,receipts_total,sub_sector,uen
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"520,818",Apr 2016 - Mar 2017,Received,GLOBAL CULTURAL ALLIANCE LIMITED,-,-,-,-,-,Arts and Heritage,-,-,-,-,-,-,-,-,-,-,"551,189",Historical & Cultural Conservation,201428805R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"305,000","32,810,000",0,"86,423,000",0,0,0,"119,538,000",0,"119,538,000",0,"119,524,000","119,524,000","14,000",0,"14,000",0,"949,000",0,"949,000",0,"66,000","1,015,000",Apr 2015 - Mar 2016,Received,LEE KUAN YEW FUND FOR BILINGUALISM,0,0.0,0,0,"5,353,000",Arts and Heritage,"5,001,000","1,161,000","6,162,000",0,0,0,0,"1,703,000",0,0,"7,865,000",Historical & Cultural Conservation,201204335M
"86,000","37,436,000",0,"77,291,000",0,0,0,"114,813,000",0,"114,813,000",0,"114,800,000","114,800,000","13,000",0,"13,000",0,"948,000",0,"948,000",0,"76,000","1,024,000",Apr 2014 - Mar 2015,Received,LEE KUAN YEW FUND FOR BILINGUALISM,0,0.0,0,0,"1,547,000",Arts and Heritage,0,"5,460,000","5,460,000",0,0,0,"1,448,000","1,066,000","1,000",0,"7,975,000",Historical & Cultural Conservation,201204335M
"30,000","31,540,000",0,"91,714,000",0,0,0,"123,284,000",0,"123,284,000",0,"123,270,000","123,270,000","14,000",0,"14,000",0,"1,515,000",0,"1,515,000",0,"71,000","1,586,000",Apr 2016 - Mar 2017,Received,LEE KUAN YEW FUND FOR BILINGUALISM,0,0.0,0,0,"14,000",Arts and Heritage,"181,000","103,000","284,000",0,0,0,0,"1,874,000","1,000",0,"2,159,000",Historical & Cultural Conservation,201204335M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"100,464",0,0,0,0,0,"100,464",0,"100,464",0,"98,364","98,364","2,100",0,"2,100",0,"64,969",0,"64,969",0,0,"40,035",Apr 2015 - Mar 2016,Received,My Community,0,0,0,0,0,Arts and Heritage,0,"43,120","43,120",0,0,0,"87,890",0,"6,497",0,"20,200",Historical & Cultural Conservation,T10SS0125C
0,"19,706",0,0,0,0,0,"19,706",0,"19,706",0,"19,706","19,706",0,0,0,0,0,0,0,0,"40,035",0,0,0,My Community,0,0,0,0,0,Arts and Heritage,"15,000",-,"15,000",0,-,0,"5,000",0,200,0,0,Historical & Cultural Conservation,T10SS0125C
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"64,969",Apr 2016 - Mar 2017,Received,My Community,-,-,-,-,-,Arts and Heritage,-,-,-,-,-,-,-,-,-,-,"137,507",Historical & Cultural Conservation,T10SS0125C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42,384","1,512,730","31,571",0,0,0,0,"1,586,685",0,"1,586,685","519,380","1,055,302","535,922","531,383",0,"531,383","519,380","106,347","33,682","140,029","516,910","300,298","358,902",Apr 2015 - Mar 2016,Received,NAM HWA OPERA LIMITED,0,0,7,"159,033",0,Arts and Heritage,"25,568","705,335","730,903",0,0,0,"752,734",0,"135,570",0,"1,537,810",Historical & Cultural Conservation,201504648M
"47,646","1,007,808","18,005",0,0,0,0,"1,073,459",0,"1,073,459",0,"393,332","393,332","680,127",0,"680,127","660,065","36,369",0,"36,369","197,056","125,477",0,0,0,NAM HWA OPERA LIMITED,0,0,5,"121,177",0,Arts and Heritage,"54,612","614,648","669,260",0,0,0,"772,865",0,"95,685",0,0,Historical & Cultural Conservation,201504648M
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"957,237",Apr 2016 - Mar 2017,Received,NAM HWA OPERA LIMITED,-,-,-,-,-,Arts and Heritage,-,-,-,-,-,-,-,-,-,-,"1,619,207",Historical & Cultural Conservation,201504648M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"113,238,049",0,0,0,"5,793,510","1,028,438","120,059,997",0,"120,059,997","18,131,402","94,311,048","76,179,646","24,720,511","1,028,438","25,748,949","15,451,250","4,120,793",0,"4,120,793",0,"52,688,721","56,809,514",Apr 2015 - Mar 2016,Received,NATIONAL GALLERY SINGAPORE,0,0,200,"16,466,916",0,Arts and Heritage,"74,448","69,378,818","69,453,266",0,0,0,"56,444,819",0,"3,368,215",0,"129,266,300",Historical & Cultural Conservation,200900977G
0,"32,389,774",0,0,0,"297,055","321,872","33,008,701",0,"33,008,701","4,060,975","22,108,290","18,047,315","10,578,539","321,872","10,900,411","2,050,000","1,853,989",0,"1,853,989",0,"24,311,226","26,165,215",Apr 2014 - Mar 2015,Received,NATIONAL GALLERY SINGAPORE,0,0,138,"11,128,988",0,Arts and Heritage,0,"19,610,000","19,610,000",0,0,0,"26,165,215",0,"49,235",0,"45,824,450",Historical & Cultural Conservation,200900977G
"1,384,626","91,596,809",0,"40,900,538",0,"2,215,167","17,523,083","153,620,223",0,"153,620,223","22,931,793","128,336,209","105,404,416","24,365,694","918,320","25,284,014","7,685,250","838,846","936,548","1,775,394","244,297","68,060,010","70,079,701",Apr 2016 - Mar 2017,Received,NATIONAL GALLERY SINGAPORE,0,21,213,"17,654,559",0,Arts and Heritage,"312,434","16,809,764","17,122,198","23,452,743",0,"23,452,743","47,052,762",0,"6,841,318",0,"94,469,021",Historical & Cultural Conservation,200900977G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24,121,670","262,070,435",0,"29,724,085","17,212,713","3,189,515","540,691,561","877,009,979",0,"877,009,979","1,285,486","684,088,655","682,803,169","141,920,290","51,001,034","192,921,324",0,0,0,0,0,"128,706,731","128,706,731",Apr 2015 - Mar 2016,Late,NATIONAL HERITAGE BOARD,0,0,356,"37,620,191","792,380",Arts and Heritage,0,-,0,0,-,0,"126,642,993","2,393,616","2,320,768","1,773,339","133,130,716",Historical & Cultural Conservation,T08GB0036B
"142,257,274","81,582,287",0,"28,775,652","19,015,639","1,189,315","499,905,946","772,726,113",0,"772,726,113",0,"586,545,516","586,545,516","127,805,806","58,374,791","186,180,597",0,0,0,0,0,"111,867,897","111,867,897",Apr 2014 - Mar 2015,Late,NATIONAL HERITAGE BOARD,0,0,356,"34,933,450","126,850",Arts and Heritage,0,-,0,0,-,0,"110,014,436","782,239","3,234,259","1,186,230","115,217,164",Historical & Cultural Conservation,T08GB0036B
"53,560,484","247,954,448",0,"29,519,361","15,275,977","3,888,964","553,296,666","903,495,900",0,"903,495,900","3,555,808","718,725,239","715,169,431","134,694,961","50,075,700","184,770,661",0,0,0,0,0,"125,915,971","125,915,971",Apr 2016 - Mar 2017,Received,NATIONAL HERITAGE BOARD,0,0,350,"36,337,498","768,981",Arts and Heritage,0,-,0,0,-,0,"115,168,309","3,702,411","3,596,819","2,874,290","125,341,829",Historical & Cultural Conservation,T08GB0036B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"8,500,609",0,0,0,0,0,"8,500,609",0,"8,500,609",0,0,0,0,"8,500,609","8,500,609",0,0,0,0,"188,581","7,813,604","8,002,185",Apr 2015 - Mar 2016,Received,NATIONAL HERITAGE FUND,0,17.9,0,0,0,Arts and Heritage,"1,041,402","4,951,012","5,992,414",0,0,0,0,0,0,0,"5,992,414",Historical & Cultural Conservation,T03CC1717K
0,"10,510,380",0,0,0,0,0,"10,510,380",0,"10,510,380",0,0,0,0,"10,510,380","10,510,380",0,0,0,0,0,"5,142,861","5,142,861",Apr 2014 - Mar 2015,Late,NATIONAL HERITAGE FUND,0,0,0,0,0,Arts and Heritage,"215,218","6,703,700","6,918,918",0,0,0,0,0,0,0,"6,918,918",Historical & Cultural Conservation,T03CC1717K
0,"8,042,100",0,0,0,0,0,"8,042,100",0,"8,042,100",0,0,0,0,"8,042,100","8,042,100",0,0,0,0,"122,827","1,911,817","2,034,644",Apr 2016 - Mar 2017,Received,NATIONAL HERITAGE FUND,0,7.5,0,0,0,Arts and Heritage,"799,040","843,075","1,642,115","1,088,572","1,165,413","2,253,985",0,0,0,0,"3,896,100",Historical & Cultural Conservation,T03CC1717K
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44,655,330","159,862,520",0,"190,519,200","175,448,780","15,686,140","109,692,346","695,864,316",0,"695,864,316",0,"416,306,241","416,306,241","77,312,779","202,245,296","279,558,075","228,519","251,598,467","660,538","252,259,005",0,"6,866,984","259,125,989",Apr 2015 - Mar 2016,Received,NATIONAL LIBRARY BOARD,0,0,"1,024","89,589,310","6,228,929",Arts and Heritage,"259,497",-,"259,497",0,-,0,"229,197,888","4,004,879","23,656,526","1,737,082","258,855,872",Historical & Cultural Conservation,T08GB0037J
"10,791,174","226,890,614",0,"71,143,536","180,224,231","11,593,447","99,699,834","600,342,836",0,"600,342,836",0,"299,462,644","299,462,644","90,160,163","210,720,029","300,880,192","118,249","249,978,597","437,530","250,416,127",0,"6,460,770","256,876,897",Apr 2014 - Mar 2015,Received,NATIONAL LIBRARY BOARD,0,0,"1,028","84,023,900","5,488,889",Arts and Heritage,0,-,0,"248,358",-,"248,358","225,460,667","2,934,696","25,479,408","1,643,495","255,766,624",Historical & Cultural Conservation,T08GB0037J
"12,560,842","97,904,997",0,"306,266,969","170,673,330","16,213,170","151,121,355","754,740,663",0,"754,740,663",0,"479,495,498","479,495,498","79,097,900","196,147,265","275,245,165","266,031","236,898,448","756,231","237,654,679",0,"32,342,066","269,996,745",Apr 2016 - Mar 2017,Received,NATIONAL LIBRARY BOARD,0,0,"1,009","102,095,831","6,840,876",Arts and Heritage,0,-,0,"332,575",-,"332,575","236,277,899","11,798,985","21,796,041","1,613,499","271,818,999",Historical & Cultural Conservation,T08GB0037J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"14,148",0,0,0,0,0,"14,148",0,"14,148",0,"-25,541","-25,541","39,689",0,"39,689",0,"269,160",0,"269,160",0,"22,173","291,333",Jan 2015 - Dec 2015,Received,NGEE ANN CULTURAL CENTRE LIMITED,0,0,0,0,0,Arts and Heritage,"250,000",-,"250,000",0,-,0,0,0,0,0,"250,000",Historical & Cultural Conservation,199805169D
0,"19,554",0,0,0,0,0,"19,554",0,"19,554",0,"15,792","15,792","3,762",0,"3,762",0,"39,332",0,"39,332",0,"14,340","53,672",Jan 2014 - Dec 2014,Late,NGEE ANN CULTURAL CENTRE LIMITED,0,0,0,0,0,Arts and Heritage,"30,000",-,"30,000",0,-,0,0,0,0,0,"30,000",Historical & Cultural Conservation,199805169D
0,"23,972",0,0,0,0,0,"23,972",0,"23,972",0,"18,858","18,858","5,114",0,"5,114",0,"73,141","154,339","227,480",0,"11,121","238,601",Jan 2016 - Dec 2016,Received,NGEE ANN CULTURAL CENTRE LIMITED,0,0,0,0,0,Arts and Heritage,"283,000",-,"283,000",0,-,0,0,0,0,0,"283,000",Historical & Cultural Conservation,199805169D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"6,744,365",0,0,0,0,0,"6,744,365",0,"6,744,365",0,"6,744,365","6,744,365",0,0,0,0,"1,871,926",0,"1,871,926",0,0,"1,871,926",Apr 2015 - Mar 2016,Late,PRESERVATION OF MONUMENTS FUND,0,0.0,0,0,0,Arts and Heritage,"2,000","2,931,336","2,933,336",0,0,0,0,0,0,0,"2,933,336",Historical & Cultural Conservation,T03CC1669C
0,"5,682,955",0,0,0,0,0,"5,682,955",0,"5,682,955",0,"5,682,955","5,682,955",0,0,0,0,"969,792",0,"969,792",0,0,"969,792",Apr 2014 - Mar 2015,Late,PRESERVATION OF MONUMENTS FUND,0,0.0,0,0,0,Arts and Heritage,"100,500","1,832,285","1,932,785",0,0,0,0,0,0,0,"1,932,785",Historical & Cultural Conservation,T03CC1669C
0,"4,024,524",0,0,0,0,0,"4,024,524",0,"4,024,524",0,"4,024,524","4,024,524",0,0,0,0,"3,649,427",0,"3,649,427",0,0,"3,649,427",Apr 2016 - Mar 2017,Late,PRESERVATION OF MONUMENTS FUND,0,0.0,0,0,0,Arts and Heritage,0,"929,586","929,586",0,0,0,0,0,0,0,"929,586",Historical & Cultural Conservation,T03CC1669C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"39,854,248",0,"3,014,790",0,"356,812","54,355,562","97,581,412",0,"97,581,412",0,"22,985,162","22,985,162","58,735,470","15,860,780","74,596,250",0,"795,065",0,"795,065",0,"2,222,741","3,017,806",Apr 2015 - Mar 2016,Late,SINGAPORE CHINESE CULTURAL CENTRE,0,0,11,"1,004,075","730,372",Arts and Heritage,0,"19,217,305","19,217,305",0,0,0,"2,866,916","14,790","68,594",0,"22,167,605",Historical & Cultural Conservation,201309577Z
0,"6,762,261",0,0,0,"301,731","12,035,816","19,099,808",0,"19,099,808",0,"1,649,364","1,649,364","2,676,564","14,773,880","17,450,444",0,"203,411",0,"203,411",0,"1,947,854","2,151,265",Apr 2014 - Mar 2015,Late,SINGAPORE CHINESE CULTURAL CENTRE,0,0,6,"656,826","545,600",Arts and Heritage,0,"2,186,000","2,186,000",0,0,0,"2,043,701",0,"4,664",0,"4,234,365",Historical & Cultural Conservation,201309577Z
"1,873,236","26,483,989",0,"16,759,600",0,"13,221,494","882,973","59,221,292",0,"59,221,292",0,"27,728,682","27,728,682","18,416,742","13,075,868","31,492,610","533,986","449,381",0,"449,381",0,"4,843,015","5,292,396",Apr 2016 - Mar 2017,Received,SINGAPORE CHINESE CULTURAL CENTRE,0,0,17,"1,350,828","561,188",Arts and Heritage,0,"4,039,571","4,039,571",0,0,0,"4,499,998","836,404","659,943",0,"10,035,916",Historical & Cultural Conservation,201309577Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"278,473","297,435",0,0,0,0,"8,816","584,724",0,"584,724","265,923","453,652","187,729","131,072",0,"131,072","265,923","583,174","7,333","590,507","57,428","42,691","690,626",Jan 2015 - Dec 2015,Received,"SINGAPORE CHINESE DANCE THEATRE ",0,16.7,7,"279,162","375,496",Arts and Heritage,"282,112",0,"282,112",0,0,0,"419,020",0,"10,214","470,227","1,181,573",Historical & Cultural Conservation,201419196W
"8,735","52,907",0,0,0,0,"7,049","68,691",0,"68,691",0,"-37,295","-37,295","105,986",0,"105,986",0,"5,536",0,"5,536",0,"124,532","130,068",Jul 2014 - Dec 2014,Received,"SINGAPORE CHINESE DANCE THEATRE ",0,0,5,"80,386",0,Arts and Heritage,0,-,0,0,-,0,"37,500",0,"37,149","18,124","92,773",Historical & Cultural Conservation,201419196W
"173,343","619,144",0,0,0,0,"4,825","797,312",0,"797,312","134,910","611,630","476,720","185,682",0,"185,682","132,760","814,961","9,365","824,326",0,"53,917","878,243",Jan 2016 - Dec 2016,Received,"SINGAPORE CHINESE DANCE THEATRE ",0,0,7,"345,047","255,658",Arts and Heritage,0,"118,818","118,818",0,0,0,"366,668",0,"70,563","480,172","1,036,221",Historical & Cultural Conservation,201419196W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"84,313","6,543,096",0,"3,508,949",0,0,0,"10,136,358",0,"10,136,358","3,396,710","9,779,881","6,383,171","356,477",0,"356,477",0,"2,679,383",0,"2,679,383","275,000","25,465","2,979,848",Apr 2015 - Mar 2016,Late,SINGAPORE CLAN FOUNDATION,0,6,0,0,"3,625,602",Arts and Heritage,"550,000","6,022,910",-,0,0,-,"557,000","194,539","217,800",0,"7,542,249",Historical & Cultural Conservation,198601162H
"188,972","559,598",0,"2,500,000",0,0,0,"3,248,570",0,"3,248,570","1,576,500","3,245,770","1,669,270","2,800",0,"2,800",0,"265,032",0,"265,032",0,"204,567","469,599",Apr 2014 - Mar 2015,Late,SINGAPORE CLAN FOUNDATION,0,0,0,0,"200,000",Arts and Heritage,"13,481","151,600","165,081",0,0,0,"176,910","118,760",0,0,"460,751",Historical & Cultural Conservation,198601162H
"92,826","6,253,721",0,"6,762,449",0,0,0,"13,108,996",0,"13,108,996","5,091,297","13,104,796","8,013,499","4,200",0,"4,200",0,"2,304,285",0,"2,304,285",0,"479,619","2,783,904",Apr 2016 - Mar 2017,Received,SINGAPORE CLAN FOUNDATION,0,0,0,0,"511,483",Arts and Heritage,10,"922,850","922,860",0,0,0,"1,324,162","218,167",0,"241,000","2,706,189",Historical & Cultural Conservation,198601162H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"360,541","20,917",0,0,"3,125",0,"384,644",0,"384,644",0,"220,334","220,334","157,190","7,120","164,310",0,"162,480",0,"162,480",0,"34,128","196,608",Apr 2015 - Mar 2016,Received,SINGAPORE HERITAGE SOCIETY,0,0,0,0,"8,760",Arts and Heritage,"18,211","22,821","41,032",0,0,0,"12,319",0,"19,866","156,213","229,430",Historical & Cultural Conservation,S87SS0042J
"29,670","275,451","21,789",0,0,"3,142",0,"330,052",0,"330,052",0,"187,512","187,512","137,469","5,071","142,540",0,"161,461",0,"161,461",0,"27,455","188,916",Apr 2014 - Mar 2015,Received,SINGAPORE HERITAGE SOCIETY,0,0,0,0,"45,100",Arts and Heritage,"20,611","17,834","38,445",0,0,0,300,0,"26,735","135,215","200,695",Historical & Cultural Conservation,S87SS0042J
257,"293,154","20,255",0,0,"3,250","16,650","333,566",0,"333,566",0,"236,339","236,339","92,158","5,069","97,227",0,"156,802",0,"156,802",0,"39,046","195,848",Apr 2016 - Mar 2017,Received,SINGAPORE HERITAGE SOCIETY,0,0,0,0,"3,260",Arts and Heritage,0,"10,669","10,669",0,0,0,"65,405",0,"20,589","115,190","211,853",Historical & Cultural Conservation,S87SS0042J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"92,333","6,194,930","109,634","1,981,605",0,0,"1,387,600","9,766,102",0,"9,766,102","423,400","8,591,279","8,167,879","1,174,823",0,"1,174,823",0,"2,234,491",0,"2,234,491",0,0,"2,234,491",Apr 2015 - Mar 2016,Late,SINGAPORE PHILATELIC MUSEUM,0,0,14,"1,275,218","1,098,320",Arts and Heritage,"1,784","654,704","656,488",0,"100,135","100,135","1,086,701","15,782","360,909","209,455","2,429,470",Historical & Cultural Conservation,199502248C
"132,149","5,711,575","127,924","1,918,377",0,0,"1,301,409","9,191,434",0,"9,191,434",0,"8,396,300","8,396,300","795,134",0,"795,134",0,"2,180,378",0,"2,180,378",0,0,"2,180,378",Apr 2014 - Mar 2015,Late,SINGAPORE PHILATELIC MUSEUM,0,0,14,"1,223,136","1,027,489",Arts and Heritage,"3,328","44,844","48,172",0,0,0,"1,144,556","87,045","965,670","155,444","2,400,887",Historical & Cultural Conservation,199502248C
"85,700","6,210,811","117,530","1,965,065",0,0,"1,364,525","9,743,631",0,"9,743,631","423,400","8,239,160","7,815,760","1,504,471",0,"1,504,471",0,"2,294,178",0,"2,294,178",0,0,"2,294,178",Apr 2016 - Mar 2017,Late,SINGAPORE PHILATELIC MUSEUM,0,0,14,"1,367,748","1,064,198",Arts and Heritage,"4,201","341,532","345,733",0,0,0,"1,060,612","133,066","254,928","147,720","1,942,059",Historical & Cultural Conservation,199502248C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25,041","33,860",0,0,0,0,0,"58,901",0,"58,901",0,"23,156","23,156","35,745",0,"35,745",0,"196,934","9,448","206,382",18,"422,130","628,530",Jul 2015 - Jun 2016,Received,SOCIAL CREATIVES LTD.,0,99.99,7,"263,155",0,Arts and Heritage,70,"349,772","349,842",0,0,0,"149,837",0,"12,321","94,001","606,001",Historical & Cultural Conservation,200813216C
"52,692","4,447",0,0,"5,399",0,0,"62,538",0,"62,538",0,"35,685","35,685","26,853",0,"26,853",0,"219,294","3,947","223,241",0,"289,139","512,380",Jul 2014 - Jun 2015,Received,SOCIAL CREATIVES LTD.,0,100,9,"296,253","1,365",Arts and Heritage,"113,798","84,867","198,665",0,0,0,"192,788",0,"1,228","119,365","512,046",Historical & Cultural Conservation,200813216C
"17,802","17,986",0,0,0,0,0,"35,788",0,"35,788",0,"21,311","21,311","14,477",0,"14,477",0,"348,843","38,436","387,279",0,0,"387,279",Jul 2016 - Jun 2017,Received,SOCIAL CREATIVES LTD.,0,99.99,5,"192,543",0,Arts and Heritage,402,"40,000","40,402",0,0,0,"317,772",0,"2,913","24,347","385,434",Historical & Cultural Conservation,200813216C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,"70,754",0,0,"2,118,020",0,0,"2,189,422",0,"2,189,422",0,"2,163,212","2,163,212","26,210",0,"26,210","27,535",0,0,0,0,"190,124","190,124",Jan 2015 - Dec 2015,Received,SUN YAT SEN NANYANG MEMORIAL HALL COMPANY LIMITED,0,0,0,0,"27,535",Arts and Heritage,"27,535",-,"27,535",0,-,0,0,0,0,0,"27,535",Historical & Cultural Conservation,199704070D
